player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Domantas Sabonis,sabondo01,2023,PO,SAC,528,243,-5.351471488,3.905230274,-1.446241215,-8.629836477,-8.030063021,-16.6598995,-6.328715383,1.634241922,-4.694473462,-0.247606657,0,-0.247606657,-5.733155395,0.204436759,-5.528718636,-0.404944552
Domantas Sabonis,sabondo01,2023,RS,SAC,5726,2736,2.854697367,0.857190672,3.711888039,4.333841158,-2.765413392,1.568427766,3.277099125,0.195228715,3.47232784,8.658054592,8.658054592,0,2.966494891,0.871379182,3.837874073,-0.322327326
Luka Samanic,samanlu01,2023,RS,UTA,354,161,-3.429122519,-1.00598551,-4.435108029,1.064430997,1.493171877,2.557602874,-2.711207851,-0.513714325,-3.224922176,-0.039451796,-0.039451796,0,-1.245746086,-0.835426113,-2.081172199,1.14008069
Dario Saric,saricda01,2023,RS,OKC,589,273,-0.630201049,2.218521942,1.588320894,1.361051343,4.264943237,5.62599458,-0.262875193,2.763581234,2.500706041,0.737044358,0.737044358,0,-0.553759559,1.316206629,0.762447071,0.786924978
Dario Saric,saricda01,2023,RS,PHO,1104,533,-1.180757277,-0.628700033,-1.80945731,0.136996271,-3.880369641,-3.74337337,-0.985307847,-1.371774767,-2.357082613,0.107307743,0.107307743,0,-0.695405236,-1.167453737,-1.862858973,0.433709221
Olivier Sarr,sarrol01,2023,RS,OKC,240,114,-3.243382142,-5.045321551,-8.288703693,-0.446063246,1.998417146,1.552353901,-2.858953762,-3.886758621,-6.745712382,-0.231341034,-0.231341034,0,-2.720715318,-4.781876515,-7.502591833,-0.460707638
Jordan Schakel,schakjo01,2023,RS,WAS,12,6,8.860301491,8.97248325,17.83278474,19.8769268,16.99073705,36.86766384,11.78000502,11.2692898,23.04929482,0.07926967,0.07926967,0,13.7249437,11.20305817,24.92800187,0.374292295
Admiral Schofield,schofad01,2023,RS,ORL,941,451,-1.445698415,-2.387514839,-3.833213254,-3.423740172,-1.975023113,-5.398763285,-1.910520476,-2.434229457,-4.344749933,-0.36767904,-0.36767904,0,-1.579959764,-2.582959229,-4.162918993,0.199902936
Dennis Schroder,schrode01,2023,PO,LAL,866,417,-1.081206657,0.488738002,-0.592468656,-2.031453126,3.794913034,1.763459908,-1.391699493,1.177209313,-0.21449018,0.555813139,0,0.555813139,-0.863704278,3.103294658,2.23959038,-0.095568398
Dennis Schroder,schrode01,2023,RS,LAL,4212,1986,-0.862802214,-0.5668912,-1.429693414,1.06925212,0.087213786,1.156465907,-0.506607835,-0.479575189,-0.986183024,1.780573071,1.780573071,0,-1.137610239,0.032665635,-1.104944604,-0.374276489
Jay Scrubb,scrubja01,2023,RS,ORL,64,30,2.026198999,-3.983531832,-1.957332833,0.3860221,-15.8076417,-15.4216196,1.861971432,-6.667199799,-4.805228367,-0.031703637,-0.031703637,0,4.58311756,-6.382295048,-1.799177487,0.790316127
Dereon Seabron,seabrde01,2023,RS,NOP,25,12,-1.22009924,-6.153257272,-7.373356513,0.947767485,14.29357377,15.24134126,-0.812306822,-2.310955804,-3.123262626,-0.002221887,-0.002221887,0,-3.027091285,-5.165927347,-8.193018632,-2.799152278
Alperen Sengun,sengual01,2023,RS,HOU,4522,2171,-0.26920422,2.388274896,2.119070676,3.469814284,-3.667188419,-0.197374135,0.558543299,1.343939804,1.902483103,5.179317345,5.179317345,0,0.477757613,0.962841094,1.440598707,0.509662844
Collin Sexton,sextoco01,2023,RS,UTA,2440,1145,1.153071293,-1.470771503,-0.317700211,0.307446243,-1.71272681,-1.405280567,1.03756074,-1.590811982,-0.553251242,1.288305753,1.288305753,0,0.346161872,-1.886741866,-1.540579993,0.394146535
Landry Shamet,shamela01,2023,PO,PHO,391,184,-2.078786993,2.411492792,0.332705799,-3.209871846,0.224619084,-2.985252762,-2.445218465,2.148540691,-0.296677775,0.237619371,0,0.237619371,-3.397075868,1.433694376,-1.963381492,0.035819671
Landry Shamet,shamela01,2023,RS,PHO,1694,807,0.513092796,0.661260516,1.174353312,-2.402893907,3.494690239,1.091796332,-0.067838788,1.274225411,1.206386623,1.628932808,1.628932808,0,0.307850113,0.919956508,1.22780662,-0.002217954
Day'Ron Sharpe,sharpda01,2023,PO,BRK,40,20,4.38849081,-19.23906574,-14.85057493,16.38026091,-18.33003801,-1.949777093,7.28423122,-20.24008144,-12.95585022,-0.106484116,0,-0.106484116,2.338309188,-17.32628858,-14.9879794,-0.842156706
Day'Ron Sharpe,sharpda01,2023,RS,BRK,1176,552,-1.91443483,-4.161205889,-6.075640718,-1.3838666,-6.707169039,-8.091035639,-1.915433485,-4.92873722,-6.844170704,-1.159354777,-1.159354777,0,-1.500139193,-3.576980803,-5.077119996,0.552519803
Shaedon Sharpe,sharpsh01,2023,RS,POR,3743,1779,-1.93880662,-2.310441661,-4.249248282,-2.985090892,-3.895994014,-6.881084907,-2.272351475,-2.734135739,-5.006487214,-2.047155358,-2.047155358,0,-2.35948636,-2.549372185,-4.908858545,-0.046117283
